,Unnamed: 0,Unnamed: 0.1,id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart,Genre,wiki_genre
162,162,162,245,1978-03-18,66,68.0,It Amazes Me,John Denver,59.0,7.0,country,Pop
163,163,163,246,1975-10-11,14,15.0,Rhinestone Cowboy,Glen Campbell,1.0,23.0,country,Country
164,164,164,247,1974-01-05,94,93.0,Last Kiss,J. Frank Wilson & The Cavaliers,2.0,20.0,oldies,Rhythm and blues
165,165,165,248,1971-11-13,42,42.0,I'd Love To Change The World,Ten Years After,40.0,12.0,blues rock,Not Found
166,166,166,249,1979-05-19,32,30.0,Old Time Rock & Roll,Bob Seger,28.0,18.0,classic rock,Rock
167,167,167,250,1960-02-08,6,5.0,Handy Man,Jimmy Jones,2.0,18.0,soul,Rock and roll
168,168,168,251,1969-12-27,97,95.0,Theme From Electric Surfboard,Brother Jack McDuff,95.0,2.0,jazz,Not Found
169,169,169,253,1962-12-22,10,10.0,Love Came To Me,Dion,10.0,11.0,oldies,Not Found
170,170,170,254,1986-03-22,12,14.0,Sanctify Yourself,Simple Minds,14.0,14.0,new wave,New wave
171,171,171,256,1973-11-03,95,93.0,Smokin' In The Boy's Room,Brownsville Station,3.0,19.0,classic rock,Not Found
172,172,172,257,1968-11-16,38,40.0,Shape Of Things To Come,Max Frost & The Troopers,22.0,12.0,psychedelic,Not Found
173,173,173,258,1991-08-03,90,88.0,Don't Treat Me Bad,Firehouse,19.0,23.0,hard rock,Glam metal
174,174,174,259,1979-07-14,59,60.0,Born To Be Alive,Patrick Hernandez,16.0,19.0,Not Found,Not Found
175,175,175,260,1971-04-17,4,4.0,She's A Lady,Tom Jones,2.0,14.0,pop,Pop
176,176,176,261,1968-11-02,31,30.0,In-A-Gadda-Da-Vida,Iron Butterfly,30.0,17.0,Psychedelic Rock,Acid rock
177,177,177,263,1974-03-02,35,34.0,Last Kiss,Wednesday,34.0,18.0,pop,Rhythm and blues
178,178,178,264,1967-09-16,43,42.0,Dandelion,The Rolling Stones,14.0,8.0,classic rock,Psychedelic pop
179,179,179,265,1972-04-29,33,34.0,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,8.0,16.0,60s,Not Found
180,180,180,267,1964-03-07,47,47.0,Worried Guy,Johnny Tillotson,37.0,7.0,oldies,Not Found
181,181,181,268,1980-05-31,90,90.0,Time For Me To Fly,REO Speedwagon,56.0,13.0,classic rock,Not Found
182,182,182,269,1973-07-28,12,13.0,Money,Pink Floyd,13.0,15.0,Progressive rock,Progressive rock
183,183,183,270,1963-11-23,44,44.0,In My Room,The Beach Boys,23.0,11.0,classic rock,Doo-wop
184,184,184,271,1986-03-08,40,38.0,Addicted To Love,Robert Palmer,1.0,22.0,80s,Pop rock
185,185,185,275,1981-11-21,55,55.0,Promises In The Dark,Pat Benatar,38.0,11.0,80s,Not Found
186,186,186,276,1970-10-17,25,24.0,Patches,Clarence Carter,4.0,14.0,soul,Soul
187,187,187,278,1982-01-09,19,20.0,Waiting On A Friend,The Rolling Stones,13.0,15.0,classic rock,Rock
188,188,188,279,1979-06-30,79,78.0,Born To Be Alive,Patrick Hernandez,16.0,19.0,Not Found,Not Found
189,189,189,280,1967-01-07,87,88.0,It Takes Two,"Marvin Gaye,Kim Weston",14.0,12.0,soul,Soul
190,190,190,281,1988-01-30,20,19.0,There's The Girl,Heart,12.0,17.0,classic rock,Electronic rock
191,191,191,282,1979-10-06,41,39.0,Gotta Serve Somebody,Bob Dylan,24.0,12.0,folk,Rock
192,192,192,284,1966-02-05,29,28.0,These Boots Are Made For Walkin',Nancy Sinatra,1.0,14.0,female vocalists,Pop rock
193,193,193,288,1964-02-15,32,34.0,As Usual,Brenda Lee,12.0,11.0,oldies,Pop
194,194,194,289,1968-01-27,84,83.0,Guitar Man,Elvis Presley,28.0,20.0,rock n roll,Country
195,195,195,290,1972-11-18,51,52.0,Long Dark Road,The Hollies,26.0,11.0,60s,Not Found
196,196,196,291,1978-01-21,74,73.0,The Way You Do The Things You Do,Rita Coolidge,20.0,11.0,female vocalists,Soul
197,197,197,292,1970-08-29,10,10.0,25 Or 6 To 4,Chicago,4.0,20.0,classic rock,Not Found
198,198,198,293,1981-12-26,18,20.0,Every Little Thing She Does Is Magic,The Police,3.0,19.0,rock,New wave
199,199,199,294,1968-08-24,78,79.0,Mr. Bojangles,Jerry Jeff Walker,77.0,5.0,country,Country
200,200,200,295,1978-04-29,91,92.0,Just The Way You Are,Billy Joel,3.0,27.0,classic rock,Not Found
201,201,201,296,1975-10-04,19,18.0,Lyin' Eyes,Eagles,2.0,14.0,classic rock,Country rock
202,202,202,297,1971-12-18,72,71.0,That's The Way I Feel About Cha,Bobby Womack,27.0,13.0,soul,Soul
203,203,203,300,1987-09-26,1,2.0,Here I Go Again,Whitesnake,1.0,28.0,hard rock,Hard rock
204,204,204,302,1964-03-28,80,78.0,Do You Want To Know A Secret,The Beatles,2.0,11.0,classic rock,Pop
205,205,205,303,1982-08-21,74,74.0,Break It To Me Gently,Juice Newton,11.0,17.0,country,Vocal
206,206,206,304,1990-04-28,24,26.0,The Humpty Dance,Digital Underground,11.0,23.0,Hip-Hop,Golden age hip hop
207,207,207,306,1979-05-12,4,5.0,In The Navy,Village People,3.0,18.0,Disco,Disco
208,208,208,307,1980-03-01,5,7.0,Cruisin',Smokey Robinson,4.0,25.0,soul,Soul
209,209,209,308,1966-07-30,42,43.0,You Can't Roller Skate In A Buffalo Herd,Roger Miller,40.0,6.0,country,Not Found
210,210,210,309,1984-11-03,21,20.0,All Through The Night,Cyndi Lauper,5.0,19.0,80s,Not Found
211,211,211,310,1983-01-15,13,14.0,The Other Guy,Little River Band,11.0,18.0,classic rock,Not Found
212,212,212,312,1980-04-12,69,69.0,Daydream Believer,Anne Murray,12.0,17.0,country,Psychedelic pop
213,213,213,314,1965-11-27,8,9.0,I Got You (I Feel Good),James Brown,3.0,12.0,funk,Soul
214,214,214,315,1974-02-16,35,35.0,Come And Get Your Love,Redbone,5.0,23.0,classic rock,Not Found
215,215,215,317,1979-11-10,28,29.0,Dream Police,Cheap Trick,26.0,10.0,classic rock,Rock
216,216,216,318,1961-04-03,12,12.0,Wheels,The String-A-Longs,3.0,16.0,instrumental,Not Found
217,217,217,319,1976-06-26,14,15.0,I Want You,Marvin Gaye,15.0,13.0,soul,Soul
218,218,218,320,1972-01-08,100,98.0,Floy Joy,The Supremes,16.0,12.0,soul,Pop
219,219,219,322,1958-12-01,79,78.0,Bird Dog,The Everly Brothers,2.0,19.0,oldies,Country
220,220,220,323,1979-11-17,27,27.0,Dream Police,Cheap Trick,26.0,10.0,classic rock,Rock
221,221,221,324,1975-07-26,72,73.0,When Will I Be Loved,Linda Ronstadt,2.0,19.0,female vocalists,Country
222,222,222,325,1974-02-23,85,87.0,Let Me Get To Know You,Paul Anka,80.0,8.0,swing,Not Found
223,223,223,326,1975-03-29,58,57.0,My Boy,Elvis Presley,20.0,11.0,rock n roll,Soft rock
224,224,224,329,1987-03-07,58,56.0,Smoking Gun,The Robert Cray Band,22.0,14.0,blues,Blues rock
225,225,225,330,1967-01-21,70,71.0,Go Where You Wanna Go,The 5th Dimension,16.0,10.0,60s,Sunshine pop
226,226,226,331,1974-01-19,22,22.0,Jungle Boogie,Kool & The Gang,4.0,22.0,funk,Funk
227,227,227,332,1982-02-27,34,35.0,Waiting On A Friend,The Rolling Stones,13.0,15.0,classic rock,Rock
228,228,228,334,1984-01-28,73,73.0,Somebody s Watching Me,Rockwell,2.0,19.0,Drum and bass,Not Found
229,229,229,335,1962-11-10,7,9.0,Do You Love Me,The Contours,3.0,34.0,soul,Rock and roll
230,230,230,336,1977-08-13,5,4.0,(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,2.0,27.0,female vocalists,Not Found
231,231,231,338,1981-12-26,84,82.0,Through The Years,Kenny Rogers,13.0,15.0,country,Not Found
232,232,232,339,1991-02-16,27,28.0,Deeper Shade Of Soul,Urban Dance Squad,21.0,18.0,crossover,Not Found
233,233,233,341,1977-09-17,17,17.0,Easy,Commodores,4.0,22.0,soul,Soft rock
234,234,234,343,1971-02-13,9,9.0,If I Were Your Woman,Gladys Knight & The Pips,9.0,15.0,soul,Soul
235,235,235,345,1974-03-02,25,25.0,Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,15.0,11.0,classic rock,Rock
236,236,236,346,1976-11-06,76,75.0,Living It Down,Freddy Fender,72.0,4.0,country,Country
237,237,237,347,1977-07-23,63,62.0,Sunflower,Glen Campbell,39.0,11.0,country,Country pop
238,238,238,348,1989-11-04,14,15.0,The Best,Tina Turner,15.0,14.0,pop,Pop rock
239,239,239,349,1991-03-09,85,86.0,Don t Treat Me Bad,Firehouse,19.0,23.0,hard rock,Not Found
240,240,240,351,1975-01-25,55,55.0,Roll On Down The Highway,Bachman-Turner Overdrive,14.0,11.0,classic rock,Not Found
241,241,241,352,1991-11-09,31,31.0,Good Vibrations,Marky Mark,1.0,19.0,90s,Psychedelic rock
242,242,242,353,1984-11-17,27,27.0,I Can't Drive 55,Sammy Hagar,26.0,16.0,hard rock,Hard rock
243,243,243,354,1975-04-05,2,2.0,Philadelphia Freedom,Elton John,1.0,21.0,pop,Rock
244,244,244,355,1964-06-20,44,42.0,"I Rise, I Fall",Johnny Tillotson,36.0,8.0,oldies,Not Found
245,245,245,356,1961-07-03,21,20.0,Dum Dum,Brenda Lee,4.0,12.0,oldies,Pop
246,246,246,358,1973-02-24,73,73.0,Superman,Donna Fargo,41.0,9.0,country,Country
247,247,247,359,1988-02-13,93,92.0,Just Like Heaven,The Cure,40.0,19.0,post-punk,Gothic rock
248,248,248,360,1970-08-15,38,37.0,I Want To Take You Higher,Ike & Tina Turner,34.0,18.0,soul,Psychedelic soul
