"","id","chart_date","target_rank","actual_rank","title","artist","peak_rank","weeks_on_chart","genre"
"51",81,"1986-08-23",69,69,"You Can Call Me Al","Paul Simon",23,29,"Rock"
"52",83,"1984-04-07",33,34,"Red Red Wine","UB40",1,40,"Pop"
"53",85,"1987-08-22",12,10,"I Just Can't Stop Loving You","Michael Jackson With Siedah Garrett",1,12,"Pop"
"54",86,"1973-04-21",22,21,"Space Oddity","David Bowie",15,14,"Rock"
"55",88,"1967-04-22",57,57,"Buy For Me The Rain","Nitty Gritty Dirt Band",45,7,"Rock"
"56",89,"1981-08-15",25,24,"Fire And Ice","Pat Benatar",17,15,"Rock"
"57",91,"1983-08-20",41,42,"True","Spandau Ballet",4,18,"Rock"
"58",92,"1982-11-06",59,60,"Shock The Monkey","Peter Gabriel",29,18,"Rock"
"59",94,"1971-06-19",83,85,"Wild Horses","The Rolling Stones",28,8,"Rock"
"60",95,"1976-12-04",65,65,"Drivin' Wheel","Foghat",34,10,"Rock"
"61",97,"1991-08-10",14,14,"Motownphilly","Boyz II Men",3,24,"R&B/Soul"
"62",99,"1987-01-31",88,86,"A Trick Of The Night","Bananarama",76,7,"Pop"
"63",100,"1971-11-27",11,11,"Maggie May","Rod Stewart",1,17,"Rock"
"64",101,"1980-03-08",85,85,"A Lesson In Leavin'","Dottie West",73,5,"Country"
"65",102,"1970-09-26",65,66,"For The Good Times","Ray Price",11,24,"Pop"
"66",104,"1983-06-18",23,22,"We Two","Little River Band",22,12,"Rock"
"67",105,"1980-03-08",60,62,"The Spirit Of Radio","Rush",51,8,"Rock"
"68",106,"1971-06-05",18,18,"If","Bread",4,12,"Rock"
"69",107,"1974-10-26",9,8,"Sweet Home Alabama","Lynyrd Skynyrd",8,17,"Rock"
"70",109,"1970-01-24",83,83,"Ma Belle Amie","The Tee Set",5,12,"Rock"
"71",111,"1966-06-04",33,32,"Eight Miles High","The Byrds",14,9,"Rock"
"72",112,"1962-01-27",27,27,"Letter Full Of Tears","Gladys Knight & The Pips",19,11,"R&B/Soul"
"73",114,"1968-03-30",60,60,"Sunshine Of Your Love","Cream",5,26,"Rock"
"74",115,"1958-12-29",52,52,"Sweet Little Rock And Roll","Chuck Berry",47,9,"Others"
"75",116,"1972-12-02",48,48,"Let It Rain","Eric Clapton",48,13,"Rock"
"76",119,"1970-11-28",61,61,"Stand By Me","David Ruffin,Jimmy Ruffin",61,7,"R&B/Soul"
"77",120,"1963-09-28",1,3,"Be My Baby","The Ronettes",2,13,"Pop"
"78",122,"1987-02-21",75,74,"Have You Ever Loved Somebody","Freddie Jackson",69,9,"R&B/Soul"
"79",123,"1960-12-19",64,64,"Silent Night","Bing Crosby",54,2,"Others"
"80",124,"1978-12-23",14,13,"Promises","Eric Clapton",9,18,"Rock"
"81",126,"1975-11-01",28,29,"Blue Eyes Crying In The Rain","Willie Nelson",21,18,"Country"
"82",127,"1962-08-25",44,44,"Stop The Wedding","Etta James",34,8,"R&B/Soul"
"83",128,"1972-09-30",32,33,"Brandy (You're A Fine Girl)","Looking Glass",1,16,"Pop"
"84",130,"1972-06-24",24,24,"Tumbling Dice","The Rolling Stones",7,10,"Rock"
"85",131,"1981-10-31",76,75,"I Wouldn't Have Missed It For The World","Ronnie Milsap",20,17,"Country"
"86",133,"1963-07-20",24,24,"Detroit City","Bobby Bare",16,12,"Country"
"87",134,"1967-01-07",49,47,"I Had Too Much To Dream (Last Night)","The Electric Prunes",11,14,"Rock"
"88",139,"1990-09-29",79,79,"The Way You Do The Things You Do","UB40",6,25,"R&B/Soul"
"89",140,"1974-06-29",43,41,"La Grange","ZZ Top",41,19,"Rock"
"90",141,"1982-12-04",39,39,"Shock The Monkey","Peter Gabriel",29,18,"Rock"
"91",145,"1961-12-18",22,20,"Runaround Sue","Dion",1,14,"R&B/Soul"
"92",147,"1961-02-06",32,32,"Wheels","The String-A-Longs",3,16,"Others"
"93",148,"1982-03-27",30,31,"Spirits In The Material World","The Police",11,13,"R&B/Soul"
"94",149,"1979-07-21",38,38,"Just When I Needed You Most","Randy Vanwarmer",4,20,"Rock"
"95",150,"1984-09-29",7,6,"What's Love Got To Do With It","Tina Turner",1,28,"R&B/Soul"
"96",153,"1961-05-01",52,50,"Walk Right Back","The Everly Brothers",7,13,"Rock"
"97",154,"1980-02-09",62,63,"Lonely Eyes","Robert John",41,11,"Pop"
"98",155,"1985-04-20",28,27,"Forever Man","Eric Clapton",26,12,"Rock"
"99",157,"1959-08-24",8,8,"Sleep Walk","Santo & Johnny",1,18,"Rock"
"100",158,"1986-03-22",52,52,"Something About You","Level 42",7,27,"Pop"
"101",159,"1961-10-30",35,34,"Little Sister","Elvis Presley",5,13,"Rock"
"102",160,"1963-04-20",93,91,"If You Need Me","Solomon Burke",37,11,"R&B/Soul"
"103",162,"1960-01-04",77,79,"Sweet Nothin's","Brenda Lee",4,24,"Country"
"104",167,"1974-06-08",38,39,"No Charge","Melba Montgomery",39,10,"Country"
"105",168,"1967-09-16",9,9,"San Franciscan Nights","The Animals",9,10,"Rock"
"106",169,"1961-06-19",96,95,"Sea Of Heartbreak","Don Gibson",21,14,"Country"
"107",170,"1983-02-19",19,20,"Twilight Zone","Golden Earring",10,27,"Rock"
"108",172,"1963-06-29",67,69,"If You Need Me","Solomon Burke",37,11,"R&B/Soul"
"109",176,"1970-08-08",26,27,"25 Or 6 To 4","Chicago",4,20,"Rock"
"110",177,"1977-02-05",74,74,"I've Got Love On My Mind","Natalie Cole",5,21,"R&B/Soul"
"111",179,"1962-09-01",67,66,"You Can't Judge A Book By The Cover","Bo Diddley",48,10,"Rock"
"112",180,"1972-07-01",69,68,"Beautiful","Gordon Lightfoot",58,11,"Folk"
"113",181,"1983-03-19",80,79,"Always Something There To Remind Me","Naked Eyes",8,22,"Pop"
"114",182,"1974-09-21",67,68,"Annie's Song","John Denver",1,17,"Rock"
"115",183,"1979-12-15",34,35,"Chiquitita","Abba",29,12,"Pop"
"116",184,"1988-04-30",12,11,"Always On My Mind","Pet Shop Boys",4,14,"Country"
"117",185,"1958-10-27",31,29,"Just A Dream","Jimmy Clanton",4,18,"R&B/Soul"
"118",187,"1977-11-05",20,18,"Help Is On Its Way","Little River Band",14,22,"Rock"
"119",188,"1979-07-28",7,7,"I Want You To Want Me","Cheap Trick",7,19,"Pop"
"120",190,"1975-02-08",20,20,"Never Can Say Goodbye","Gloria Gaynor",9,17,"R&B/Soul"
"121",191,"1968-07-20",66,64,"People Got To Be Free","The Rascals",1,14,"R&B/Soul"
"122",192,"1959-11-02",30,29,"Unforgettable","Dinah Washington",17,13,"Pop"
"123",193,"1978-09-30",96,96,"Shadow Dancing","Andy Gibb",1,25,"R&B/Soul"
"124",194,"1974-12-21",38,36,"Willie And The Hand Jive","Eric Clapton",26,9,"Rock"
"125",195,"1972-07-29",8,7,"School's Out","Alice Cooper",7,13,"Rock"
"126",196,"1962-05-12",36,34,"Love Me Warm And Tender","Paul Anka",12,12,"Jazz"
"127",198,"1985-03-16",36,36,"Along Comes A Woman","Chicago",14,16,"Rock"
"128",199,"1980-10-11",40,41,"Could I Have This Dance","Anne Murray",33,14,"Country"
"129",202,"1973-04-21",29,28,"Love Train","The O'Jays",1,14,"R&B/Soul"
"130",203,"1969-12-06",80,81,"Wonderful World, Beautiful People","Jimmy Cliff",25,11,"R&B/Soul"
"131",204,"1970-08-29",35,34,"I Want To Take You Higher","Ike & Tina Turner",34,18,"R&B/Soul"
"132",205,"1983-01-15",94,93,"Pressure","Billy Joel",20,17,"Rock"
"133",206,"1977-03-05",20,20,"Maybe I'm Amazed","Paul McCartney",10,13,"Rock"
"134",207,"1987-09-05",36,37,"Back In The High Life Again","Steve Winwood",13,21,"Pop"
"135",208,"1976-08-21",65,67,"Another Rainy Day In New York City","Chicago",32,9,"R&B/Soul"
"136",209,"1974-05-04",99,97,"Already Gone","Eagles",32,15,"Rock"
"137",210,"1971-02-20",22,24,"She's A Lady","Tom Jones",2,14,"Pop"
"138",212,"1961-08-28",41,42,"It's Gonna Work Out Fine","Ike & Tina Turner",14,15,"Rock"
"139",213,"1962-12-29",36,36,"Comin' Home Baby","Mel Torme",36,11,"Jazz"
"140",214,"1959-02-09",94,95,"(Night Time Is) The Right Time","Ray Charles",95,1,"R&B/Soul"
"141",215,"1976-10-30",12,10,"Magic Man","Heart",9,23,"Rock"
"142",216,"1972-04-08",29,30,"Do Your Thing","Isaac Hayes",30,11,"R&B/Soul"
"143",217,"1981-04-11",60,61,"Jessie's Girl","Rick Springfield",1,32,"Pop"
"144",218,"1976-10-09",26,24,"Fernando","Abba",13,16,"Pop"
"145",220,"1962-11-17",62,61,"Ramblin' Rose","Nat ""King"" Cole",2,16,"Jazz"
"146",221,"1974-09-28",39,38,"Feel Like Makin' Love","Roberta Flack",1,16,"R&B/Soul"
"147",222,"1973-11-10",49,49,"For Ol' Times Sake","Elvis Presley",41,9,"R&B/Soul"
"148",223,"1983-09-03",89,89,"Wanna Be Startin' Somethin'","Michael Jackson",5,15,"R&B/Soul"
"149",224,"1969-03-15",18,18,"Galveston","Glen Campbell",4,12,"Country"
"150",227,"1981-11-21",57,55,"Promises In The Dark","Pat Benatar",38,11,"Rock"
"151",228,"1989-09-02",96,95,"Still Cruisin","The Beach Boys",93,3,"Rock"
"152",229,"1969-07-19",78,79,"Honky Tonk Women","The Rolling Stones",1,15,"Rock"
"153",231,"1977-07-02",23,24,"Knowing Me, Knowing You","Abba",14,15,"Pop"
"154",234,"1971-11-20",77,75,"Life Is A Carnival","The Band",72,6,"Rock"
"155",235,"1974-12-28",65,65,"Back Home Again","John Denver",5,16,"Country"
"156",236,"1987-05-23",95,95,"Tonight, Tonight, Tonight","Genesis",3,15,"Rock"
"157",238,"1980-01-05",95,97,"You Decorated My Life","Kenny Rogers",7,18,"Rock"
"158",239,"1975-06-07",77,79,"Sail On Sailor","The Beach Boys",49,17,"Pop"
"159",240,"1978-01-14",14,16,"Just The Way You Are","Billy Joel",3,27,"Pop"
"160",241,"1962-12-29",40,38,"White Christmas","Bing Crosby",12,13,"Others"
"161",242,"1991-02-16",50,49,"Because I Love You (The Postman Song)","Stevie B",1,23,"Pop"
"162",244,"1966-11-12",17,16,"Have You Seen Your Mother, Baby, Standing In The Shadow?","The Rolling Stones",9,7,"Rock"
"163",245,"1978-03-18",66,68,"It Amazes Me","John Denver",59,7,"Pop"
"164",246,"1975-10-11",14,15,"Rhinestone Cowboy","Glen Campbell",1,23,"Country"
"165",247,"1974-01-05",94,93,"Last Kiss","J. Frank Wilson & The Cavaliers",2,20,"R&B/Soul"
"166",248,"1971-11-13",42,42,"I'd Love To Change The World","Ten Years After",40,12,"Rock"
"167",249,"1979-05-19",32,30,"Old Time Rock & Roll","Bob Seger",28,18,"Rock"
"168",250,"1960-02-08",6,5,"Handy Man","Jimmy Jones",2,18,"Rock"
"169",251,"1969-12-27",97,95,"Theme From Electric Surfboard","Brother Jack McDuff",95,2,"Jazz"
"170",253,"1962-12-22",10,10,"Love Came To Me","Dion",10,11,"Rock"
"171",254,"1986-03-22",12,14,"Sanctify Yourself","Simple Minds",14,14,"Rock"
"172",256,"1973-11-03",95,93,"Smokin' In The Boy's Room","Brownsville Station",3,19,"Rock"
"173",257,"1968-11-16",38,40,"Shape Of Things To Come","Max Frost & The Troopers",22,12,"Rock"
"174",258,"1991-08-03",90,88,"Don't Treat Me Bad","Firehouse",19,23,"Rock"
"175",259,"1979-07-14",59,60,"Born To Be Alive","Patrick Hernandez",16,19,"R&B/Soul"
"176",260,"1971-04-17",4,4,"She's A Lady","Tom Jones",2,14,"Pop"
"177",261,"1968-11-02",31,30,"In-A-Gadda-Da-Vida","Iron Butterfly",30,17,"Rock"
"178",263,"1974-03-02",35,34,"Last Kiss","Wednesday",34,18,"R&B/Soul"
"179",264,"1967-09-16",43,42,"Dandelion","The Rolling Stones",14,8,"Pop"
"180",265,"1972-04-29",33,34,"(Last Night) I Didn't Get To Sleep At All","The 5th Dimension",8,16,"Pop"
"181",267,"1964-03-07",47,47,"Worried Guy","Johnny Tillotson",37,7,"Country"
"182",268,"1980-05-31",90,90,"Time For Me To Fly","REO Speedwagon",56,13,"Rock"
"183",269,"1973-07-28",12,13,"Money","Pink Floyd",13,15,"Rock"
"184",270,"1963-11-23",44,44,"In My Room","The Beach Boys",23,11,"R&B/Soul"
"185",271,"1986-03-08",40,38,"Addicted To Love","Robert Palmer",1,22,"Rock"
"186",275,"1981-11-21",55,55,"Promises In The Dark","Pat Benatar",38,11,"Rock"
"187",276,"1970-10-17",25,24,"Patches","Clarence Carter",4,14,"R&B/Soul"
"188",278,"1982-01-09",19,20,"Waiting On A Friend","The Rolling Stones",13,15,"Rock"
"189",279,"1979-06-30",79,78,"Born To Be Alive","Patrick Hernandez",16,19,"R&B/Soul"
"190",280,"1967-01-07",87,88,"It Takes Two","Marvin Gaye,Kim Weston",14,12,"R&B/Soul"
"191",281,"1988-01-30",20,19,"There's The Girl","Heart",12,17,"Rock"
"192",282,"1979-10-06",41,39,"Gotta Serve Somebody","Bob Dylan",24,12,"Rock"
"193",284,"1966-02-05",29,28,"These Boots Are Made For Walkin'","Nancy Sinatra",1,14,"Rock"
"194",288,"1964-02-15",32,34,"As Usual","Brenda Lee",12,11,"Pop"
"195",289,"1968-01-27",84,83,"Guitar Man","Elvis Presley",28,20,"Country"
"196",290,"1972-11-18",51,52,"Long Dark Road","The Hollies",26,11,"Pop"
"197",291,"1978-01-21",74,73,"The Way You Do The Things You Do","Rita Coolidge",20,11,"R&B/Soul"
"198",292,"1970-08-29",10,10,"25 Or 6 To 4","Chicago",4,20,"Rock"
"199",293,"1981-12-26",18,20,"Every Little Thing She Does Is Magic","The Police",3,19,"Rock"
"200",294,"1968-08-24",78,79,"Mr. Bojangles","Jerry Jeff Walker",77,5,"Country"
"201",295,"1978-04-29",91,92,"Just The Way You Are","Billy Joel",3,27,"Pop"
"202",296,"1975-10-04",19,18,"Lyin' Eyes","Eagles",2,14,"Country"
"203",297,"1971-12-18",72,71,"That's The Way I Feel About Cha","Bobby Womack",27,13,"R&B/Soul"
"204",300,"1987-09-26",1,2,"Here I Go Again","Whitesnake",1,28,"Rock"
"205",302,"1964-03-28",80,78,"Do You Want To Know A Secret","The Beatles",2,11,"Pop"
"206",303,"1982-08-21",74,74,"Break It To Me Gently","Juice Newton",11,17,"Others"
"207",304,"1990-04-28",24,26,"The Humpty Dance","Digital Underground",11,23,"Hip-hop"
"208",306,"1979-05-12",4,5,"In The Navy","Village People",3,18,"R&B/Soul"
"209",307,"1980-03-01",5,7,"Cruisin'","Smokey Robinson",4,25,"R&B/Soul"
"210",308,"1966-07-30",42,43,"You Can't Roller Skate In A Buffalo Herd","Roger Miller",40,6,"Country"
"211",309,"1984-11-03",21,20,"All Through The Night","Cyndi Lauper",5,19,"Pop"
"212",310,"1983-01-15",13,14,"The Other Guy","Little River Band",11,18,"Rock"
"213",312,"1980-04-12",69,69,"Daydream Believer","Anne Murray",12,17,"Pop"
"214",314,"1965-11-27",8,9,"I Got You (I Feel Good)","James Brown",3,12,"R&B/Soul"
"215",315,"1974-02-16",35,35,"Come And Get Your Love","Redbone",5,23,"Pop"
"216",317,"1979-11-10",28,29,"Dream Police","Cheap Trick",26,10,"Rock"
"217",318,"1961-04-03",12,12,"Wheels","The String-A-Longs",3,16,"Others"
"218",319,"1976-06-26",14,15,"I Want You","Marvin Gaye",15,13,"R&B/Soul"
"219",320,"1972-01-08",100,98,"Floy Joy","The Supremes",16,12,"Pop"
"220",322,"1958-12-01",79,78,"Bird Dog","The Everly Brothers",2,19,"Country"
"221",323,"1979-11-17",27,27,"Dream Police","Cheap Trick",26,10,"Rock"
"222",324,"1975-07-26",72,73,"When Will I Be Loved","Linda Ronstadt",2,19,"Country"
"223",325,"1974-02-23",85,87,"Let Me Get To Know You","Paul Anka",80,8,"Rock"
"224",326,"1975-03-29",58,57,"My Boy","Elvis Presley",20,11,"Rock"
"225",329,"1987-03-07",58,56,"Smoking Gun","The Robert Cray Band",22,14,"Rock"
"226",330,"1967-01-21",70,71,"Go Where You Wanna Go","The 5th Dimension",16,10,"Pop"
"227",331,"1974-01-19",22,22,"Jungle Boogie","Kool & The Gang",4,22,"R&B/Soul"
"228",332,"1982-02-27",34,35,"Waiting On A Friend","The Rolling Stones",13,15,"Rock"
"229",334,"1984-01-28",73,73,"Somebody s Watching Me","Rockwell",2,19,"R&B/Soul"
"230",335,"1962-11-10",7,9,"Do You Love Me","The Contours",3,34,"Rock"
"231",336,"1977-08-13",5,4,"(Your Love Has Lifted Me) Higher And Higher","Rita Coolidge",2,27,"Country"
"232",338,"1981-12-26",84,82,"Through The Years","Kenny Rogers",13,15,"Country"
"233",339,"1991-02-16",27,28,"Deeper Shade Of Soul","Urban Dance Squad",21,18,"Pop"
"234",341,"1977-09-17",17,17,"Easy","Commodores",4,22,"Rock"
"235",343,"1971-02-13",9,9,"If I Were Your Woman","Gladys Knight & The Pips",9,15,"R&B/Soul"
"236",345,"1974-03-02",25,25,"Doo Doo Doo Doo Doo (Heartbreaker)","The Rolling Stones",15,11,"Rock"
"237",346,"1976-11-06",76,75,"Living It Down","Freddy Fender",72,4,"Country"
"238",347,"1977-07-23",63,62,"Sunflower","Glen Campbell",39,11,"Country"
"239",348,"1989-11-04",14,15,"The Best","Tina Turner",15,14,"Rock"
"240",349,"1991-03-09",85,86,"Don t Treat Me Bad","Firehouse",19,23,"Pop"
"241",351,"1975-01-25",55,55,"Roll On Down The Highway","Bachman-Turner Overdrive",14,11,"Rock"
"242",352,"1991-11-09",31,31,"Good Vibrations","Marky Mark",1,19,"Rock"
"243",353,"1984-11-17",27,27,"I Can't Drive 55","Sammy Hagar",26,16,"Rock"
"244",354,"1975-04-05",2,2,"Philadelphia Freedom","Elton John",1,21,"Rock"
"245",355,"1964-06-20",44,42,"I Rise, I Fall","Johnny Tillotson",36,8,"Country"
"246",356,"1961-07-03",21,20,"Dum Dum","Brenda Lee",4,12,"Pop"
"247",358,"1973-02-24",73,73,"Superman","Donna Fargo",41,9,"Country"
"248",359,"1988-02-13",93,92,"Just Like Heaven","The Cure",40,19,"Rock"
"249",360,"1970-08-15",38,37,"I Want To Take You Higher","Ike & Tina Turner",34,18,"R&B/Soul"
"250",361,"1977-01-15",23,25,"This Song","George Harrison",25,11,"Rock"
"251",362,"1974-02-09",42,43,"Last Kiss","Wednesday",34,18,"R&B/Soul"
"252",364,"1970-04-04",18,18,"Evil Ways","Santana",9,13,"Jazz"
"253",366,"1973-08-25",9,11,"Feelin' Stronger Every Day","Chicago",10,16,"Rock"
"254",367,"1977-08-27",31,31,"Undercover Angel","Alan O'Day",1,25,"Rock"
"255",369,"1967-01-07",66,66,"Kind Of A Drag","The Buckinghams",1,13,"Rock"
"256",370,"1989-10-07",23,24,"Kisses On The Wind","Neneh Cherry",8,14,"Pop"
"257",371,"1963-06-29",40,41,"Losing You","Brenda Lee",6,13,"Pop"
"258",372,"1983-08-20",95,94,"Scarlet Fever","Kenny Rogers",94,2,"Country"
"259",377,"1973-09-22",68,70,"I Can't Stand The Rain","Ann Peebles",38,21,"R&B/Soul"
"260",378,"1990-04-28",25,26,"The Humpty Dance","Digital Underground",11,23,"Hip-hop"
"261",380,"1974-06-08",41,42,"Best Thing That Ever Happened To Me","Gladys Knight & The Pips",3,17,"R&B/Soul"
"262",381,"1973-03-31",63,63,"Hocus Pocus","Focus",9,19,"Rock"
"263",382,"1991-06-08",76,76,"Where The Streets Have No Name","Pet Shop Boys",72,7,"Rock"
"264",383,"1966-08-13",19,20,"Sunshine Superman","Donovan",1,13,"Pop"
"265",384,"1985-08-10",2,3,"If You Love Somebody Set Them Free","Sting",3,18,"Rock"
"266",385,"1990-04-14",23,25,"Hold On","Wilson Phillips",1,25,"Rock"
"267",386,"1970-12-26",57,56,"I Really Don't Want To Know","Elvis Presley",21,9,"Pop"
"268",387,"1964-11-14",18,18,"Time Is On My Side","The Rolling Stones",6,13,"Rock"
"269",389,"1984-11-17",89,89,"Tenderness","General Public",27,18,"Others"
"270",390,"1976-06-26",38,40,"Young Hearts Run Free","Candi Staton",20,16,"R&B/Soul"
"271",391,"1969-06-07",19,19,"It's Your Thing","The Isley Brothers",2,14,"R&B/Soul"
"272",393,"1980-07-26",22,22,"Misunderstanding","Genesis",14,18,"Rock"
"273",395,"1977-04-02",54,54,"Here Come Those Tears Again","Jackson Browne",23,9,"Rock"
"274",396,"1958-09-22",32,33,"Fever","Peggy Lee",8,16,"R&B/Soul"
"275",397,"1969-12-27",47,48,"Kozmic Blues","Janis Joplin",41,9,"Rock"
"276",399,"1959-01-19",14,13,"One Night","Elvis Presley",4,17,"R&B/Soul"
"277",400,"1975-01-25",53,54,"Woman To Woman","Shirley Brown",22,14,"R&B/Soul"
"278",401,"1985-06-22",17,19,"The Goonies R Good Enough","Cyndi Lauper",10,15,"Rock"
"279",402,"1964-10-17",4,5,"Last Kiss","J. Frank Wilson & The Cavaliers",2,20,"R&B/Soul"
"280",403,"1967-05-13",32,32,"I Never Loved A Man (The Way I Love You)","Aretha Franklin",9,11,"R&B/Soul"
"281",404,"1962-12-08",12,11,"He's A Rebel","The Crystals",1,18,"Rock"
"282",406,"1975-03-08",88,88,"Amie","Pure Prairie League",27,13,"Country"
"283",407,"1987-05-16",71,72,"Wild Horses","Gino Vannelli",55,15,"Rock"
"284",410,"1961-02-20",28,27,"Jimmy's Girl","Johnny Tillotson",25,11,"Country"
"285",412,"1972-11-25",78,80,"Sunday Morning Sunshine","Harry Chapin",75,6,"Rock"
"286",414,"1991-06-01",91,93,"Someone","The Rembrandts",78,10,"Rock"
"287",415,"1976-01-24",34,33,"Golden Years","David Bowie",10,21,"R&B/Soul"
"288",417,"1982-12-11",47,47,"(You're So Square) Baby, I Don't Care","Joni Mitchell",47,9,"Rock"
"289",418,"1967-12-23",16,17,"Chain Of Fools","Aretha Franklin",2,12,"R&B/Soul"
"290",419,"1979-04-07",26,26,"Blow Away","George Harrison",16,14,"Rock"
"291",421,"1969-04-26",48,46,"Pinball Wizard","The Who",19,11,"Rock"
"292",425,"1963-02-02",47,48,"See See Rider","LaVern Baker",34,11,"R&B/Soul"
"293",426,"1985-11-09",32,32,"I m Goin  Down","Bruce Springsteen",9,13,"Rock"
"294",427,"1969-01-11",63,62,"Bluebirds Over The Mountain","The Beach Boys",61,6,"Rock"
"295",429,"1971-05-29",5,6,"Put Your Hand In The Hand","Ocean",2,14,"Pop"
"296",430,"1984-05-12",77,77,"I Want A New Drug","Huey Lewis",6,19,"Pop"
"297",432,"1971-01-09",65,64,"One Bad Apple","The Osmonds",1,15,"Pop"
"298",433,"1972-09-23",47,47,"If I Could Reach You","The 5th Dimension",10,15,"R&B/Soul"
"299",434,"1960-03-07",15,15,"Where Or When","Dion",3,16,"R&B/Soul"
"300",439,"1963-02-09",6,7,"Ruby Baby","Dion",2,13,"Country"
"301",442,"1990-12-22",54,52,"World In My Eyes","Depeche Mode",52,10,"Pop"
"302",443,"1981-12-05",99,97,"Better Things","The Kinks",92,8,"Pop"
